Date,Open,High,Low,Close
28-Mar-11,18799.71,19024.18,18799.57,18943.14
29-Mar-11,18949.57,19226.21,18944.82,19120.8
30-Mar-11,19178.77,19357.1,19178.77,19290.18
31-Mar-11,19339.75,19575.16,19284.35,19445.22
01-Apr-11,19463.11,19562.55,19382.35,19420.39
04-Apr-11,19473.93,19729.6,19449.36,19701.73
05-Apr-11,19731.38,19770.21,19523.54,19686.82
06-Apr-11,19698.61,19811.14,19550.55,19612.2
07-Apr-11,19620.88,19665.09,19537.02,19591.18
08-Apr-11,19602.81,19697.21,19388.42,19451.45
11-Apr-11,19382.91,19426.3,19242.59,19262.54
13-Apr-11,19187.01,19737.33,19101.63,19696.86
15-Apr-11,19670.07,19700.96,19337.12,19386.82
18-Apr-11,19389.74,19649.22,19071.47,19091.17
19-Apr-11,19091.78,19201.92,18976.19,19121.83
20-Apr-11,19274.21,19484.77,19171.03,19470.98
21-Apr-11,19582.5,19695.98,19530.5,19602.23
25-Apr-11,19538.52,19697.49,19531.34,19584.31
26-Apr-11,19596.32,19626.13,19306.92,19545.35
27-Apr-11,19610.71,19633.63,19412.79,19448.69
28-Apr-11,19532.85,19542.05,19265.92,19292.02
29-Apr-11,19292.57,19356.5,19015.05,19135.96
02-May-11,19224.05,19253.87,18954.76,18998.02
03-May-11,18979.31,19024.95,18502.42,18534.69
04-May-11,18558.33,18604.36,18339.53,18469.36
05-May-11,18484.71,18569.21,18160.65,18210.58
06-May-11,18289.78,18568.48,18271.68,18518.81
09-May-11,18628.63,18643.58,18367.21,18528.96
10-May-11,18564.95,18689.37,18429.06,18512.77
11-May-11,18572.61,18622.44,18454.93,18584.96
12-May-11,18525.32,18610.02,18314.34,18335.79
13-May-11,18362.45,18724.54,18280.7,18531.28
16-May-11,18492.68,18492.68,18319.88,18345.03
17-May-11,18374.45,18435.8,18084.67,18137.35
18-May-11,18177.32,18218.2,18020.79,18086.2
19-May-11,18166.64,18198.45,18057.82,18141.4
20-May-11,18199.96,18429.47,18161.38,18326.09
23-May-11,18269.06,18269.06,17971.02,17993.33
24-May-11,18016.43,18110.39,17933.94,18011.97
25-May-11,17976.36,17976.36,17786.13,17847.24
26-May-11,17917.11,18072.61,17862.88,18044.64
27-May-11,18105.61,18298.64,18087.16,18266.1
30-May-11,18319.74,18380.17,18199.52,18232.06
31-May-11,18266.61,18526.8,18266.61,18503.28
01-Jun-11,18527.12,18636.12,18514.66,18608.81
02-Jun-11,18425.85,18540.67,18390.57,18494.18
03-Jun-11,18554.4,18672.65,18345.85,18376.48
